学号,姓名,课程,期中成绩,期末成绩
20071318016,王敏敏,数字电子技术,77,70
20071318016,王敏敏,C语言原理,60,60
20071318016,王敏敏,计算机硬件技术,60,60
20081318017,王婷婷,单片机原理,80,60
20081318017,王婷婷,电力电子技术,60,82
20081318017,王婷婷,操作系统及原理,60,60
20081318017,王婷婷,工程数学,60,60
20081318018,代杨杨,基础西班牙语,60,89
20081318018,代杨杨,高级西班牙语,60,60
20081318018,代杨杨,西班牙语文学,72,60
20081318018,代杨杨,西班牙互译,99,99
20081318018,代杨杨,西班牙口译,60,60
20081318019,梁欢,模拟电子技术,60,60
20081318019,梁欢,数字电子技术,60,60
20081318019,梁欢,C语言原理,60,64
20081318019,梁欢,计算机硬件技术,71,60
20071318020,欧阳祥榕,复变函数,60,60
20071318020,欧阳祥榕,大学英语,82,60
20071318020,欧阳祥榕,通信原理,96,60
20071318020,欧阳祥榕,自动化原理,60,60
20071318020,欧阳祥榕,离散计算机控制技术,66,60
20071318021,欧顺雪,模拟电子技术,60,78
20071318021,欧顺雪,数字电子技术,60,73
20071318021,欧顺雪,C语言原理,60,84
20071318021,欧顺雪,计算机硬件技术,60,75
20081318022,周娜娜,单片机原理,60,60
20081318022,周娜娜,电力电子技术,60,71
20081318022,周娜娜,操作系统及原理,73,60
20081318022,周娜娜,工程数学,96,87
20081318023,徐伟,模拟电子技术,60,62
20081318023,徐伟,数字电子技术,60,62
20081318023,徐伟,C语言原理,60,60
20081318023,徐伟,计算机硬件技术,90,60
20071318024,刘珊,大学物理,60,60
20071318024,刘珊,高等数学,74,70
20071318024,刘珊,电路原理,75,81
20071318024,刘珊,机械制图,72,60
20071318024,刘珊,汇编语言与接口技术,60,60
20071318025,王世霞,单片机原理,60,60
20071318025,王世霞,电力电子技术,77,76
20071318025,王世霞,操作系统及原理,60,94
20071318025,王世霞,工程数学,60,63
20071318026,欧阳文,基础德语,60,60
20071318026,欧阳文,德语听力,60,60
20071318026,欧阳文,德语泛读,60,60
20071318026,欧阳文,德语写作,60,60
20071318026,欧阳文,德汉互译,60,60
20071318026,欧阳文,德语口译,74,60
20071318027,李红,单片机原理,60,69
20071318027,李红,电力电子技术,60,60
20071318027,李红,操作系统及原理,60,82
20071318027,李红,工程数学,60,60
20071318028,王真彪,单片机原理,60,60
20071318028,王真彪,电力电子技术,60,60
20071318028,王真彪,操作系统及原理,60,99
20071318028,王真彪,工程数学,60,64
20081318029,骆书元,基础西班牙语,60,77
20081318029,骆书元,高级西班牙语,60,74
20081318029,骆书元,西班牙语文学,60,60
20081318029,骆书元,西班牙互译,95,60
20081318029,骆书元,西班牙口译,60,73
20071318030,黄瑶,复变函数,60,60
20071318030,黄瑶,大学英语,78,68
20071318030,黄瑶,通信原理,60,60
20071318030,黄瑶,自动化原理,60,80
20071318030,黄瑶,离散计算机控制技术,67,60
20071318031,王华,基础西班牙语,81,80
20071318031,王华,高级西班牙语,60,60
20071318031,王华,西班牙语文学,78,60
20071318031,王华,西班牙互译,60,71
20071318031,王华,西班牙口译,60,60
20081318032,周扬,基础英语,64,91
20081318032,周扬,高级英语,77,72
20081318032,周扬,英语语音,60,77
20071318033,芶茂桓,单片机原理,60,60
20071318033,芶茂桓,电力电子技术,60,95
20071318033,芶茂桓,操作系统及原理,60,86
20071318033,芶茂桓,工程数学,76,60
20071318034,胡体涛,单片机原理,92,60
20071318034,胡体涛,电力电子技术,60,60
20071318034,胡体涛,操作系统及原理,92,60
20071318034,胡体涛,工程数学,74,60
20071318035,姚恩敏,复变函数,60,68
20071318035,姚恩敏,大学英语,91,60
20071318035,姚恩敏,通信原理,80,63
20071318035,姚恩敏,自动化原理,60,60
20071318035,姚恩敏,离散计算机控制技术,77,65
20081318036,谢旭,模拟电子技术,60,60
20081318036,谢旭,C语言原理,60,83
20081318036,谢旭,数字电子技术,60,60
20081318036,谢旭,计算机硬件技术,60,84
20081318037,聂祥涛,基础西班牙语,86,60
20081318037,聂祥涛,高级西班牙语,60,76
20081318037,聂祥涛,西班牙语文学,73,66
20081318037,聂祥涛,西班牙互译,60,60
20081318037,聂祥涛,西班牙口译,60,80
20081318038,欧阳周杰,单片机原理,60,60
20081318038,欧阳周杰,电力电子技术,86,84
20081318038,欧阳周杰,操作系统及原理,60,60
20081318038,欧阳周杰,工程数学,60,60
20071318039,刘林霞,模拟电子技术,60,60
20071318039,刘林霞,数字电子技术,82,86
20071318039,刘林霞,C语言原理,77,73
20071318039,刘林霞,计算机硬件技术,60,99
20071318040,王亮亮,基础日语,66,60
20071318040,王亮亮,高级日语,60,60
20071318040,王亮亮,日语语音,97,62
20071318040,王亮亮,日语语法,60,60
20071318040,王亮亮,日语写作,73,60
20071318040,王亮亮,日本文学,64,60
20071318041,张堉,基础西班牙语,80,60
20071318041,张堉,高级西班牙语,73,60
20071318041,张堉,西班牙语文学,60,60
20071318041,张堉,西班牙互译,60,60
20071318041,张堉,西班牙口译,60,60
20071318042,黎燕洪,基础英语,60,67
20071318042,黎燕洪,高级英语,75,60
20071318042,黎燕洪,英语语音,94,76
20071318043,粟德斌,单片机原理,98,60
20071318043,粟德斌,电力电子技术,60,86
20071318043,粟德斌,操作系统及原理,60,60
20071318043,粟德斌,工程数学,81,60
20081318044,陈龙,基础日语,70,72
20081318044,陈龙,高级日语,80,94
20081318044,陈龙,日语语音,60,60
20081318044,陈龙,日语语法,66,62
20081318044,陈龙,日语写作,97,60
20081318044,陈龙,日本文学,60,60
20071318045,王应利,基础日语,75,60
20071318045,王应利,高级日语,60,60
20071318045,王应利,日语语音,60,60
20071318045,王应利,日语语法,97,60
20071318045,王应利,日语写作,93,94
20071318045,王应利,日本文学,60,60
20081318046,罗  杉,基础日语,94,60
20081318046,罗  杉,高级日语,60,93
20081318046,罗  杉,日语语音,60,74
20081318046,罗  杉,日语语法,63,60
20081318046,罗  杉,日语写作,99,74
20081318046,罗  杉,日本文学,76,96
20071318047,欧阳鹏,复变函数,98,68
20071318047,欧阳鹏,大学英语,78,63
20071318047,欧阳鹏,通信原理,98,60
20071318047,欧阳鹏,自动化原理,60,60
20071318047,欧阳鹏,离散计算机控制技术,60,60
20081318048,周培红,单片机原理,60,60
20081318048,周培红,电力电子技术,80,74
20081318048,周培红,操作系统及原理,98,86
20081318048,周培红,工程数学,60,79
20071318049,钱凤,大学物理,93,64
20071318049,钱凤,高等数学,60,60
20071318049,钱凤,电路原理,60,60
20071318049,钱凤,机械制图,81,60
20071318049,钱凤,汇编语言与接口技术,94,95
20081318050,陈青燕,模拟电子技术,60,65
20081318050,陈青燕,数字电子技术,60,95
20081318050,陈青燕,C语言原理,60,60
20081318050,陈青燕,计算机硬件技术,60,60
20081318051,张泉,基础英语,60,60
20081318051,张泉,高级英语,97,60
20081318051,张泉,英语语音,60,60
20071318052,肖松,单片机原理,60,60
20071318052,肖松,电力电子技术,60,90
20071318052,肖松,操作系统及原理,60,60
20071318052,肖松,工程数学,61,75
20081318053,方连强,模拟电子技术,73,60
20081318053,方连强,数字电子技术,71,95
20081318053,方连强,C语言原理,60,60
20081318053,方连强,计算机硬件技术,60,91
20081318054,张昌吉,模拟电子技术,60,77
20081318054,张昌吉,C语言原理,60,60
20081318054,张昌吉,数字电子技术,60,60
20081318054,张昌吉,计算机硬件技术,60,60
20071318055,卢新宇,复变函数,60,60
20071318055,卢新宇,大学英语,60,60
20071318055,卢新宇,通信原理,90,60
20071318055,卢新宇,自动化原理,60,88
20071318055,卢新宇,离散计算机控制技术,60,92
20071318056,周尧飞,单片机原理,68,60
20071318056,周尧飞,电力电子技术,60,66
20071318056,周尧飞,操作系统及原理,60,60
20071318056,周尧飞,工程数学,60,71
20071318057,陈兴,模拟电子技术,60,60
20071318057,陈兴,数字电子技术,60,60
20071318057,陈兴,C语言原理,60,60
20071318057,陈兴,计算机硬件技术,60,68
20071318058,万舟,大学物理,60,60
20071318058,万舟,高等数学,69,88
20071318058,万舟,电路原理,60,74
20071318058,万舟,机械制图,62,60
20071318058,万舟,汇编语言与接口技术,98,81
20071318059,朱鸿利,单片机原理,60,80
20071318059,朱鸿利,电力电子技术,60,60
20071318059,朱鸿利,操作系统及原理,60,60
20071318059,朱鸿利,工程数学,60,60
20081318060,芶加愉,复变函数,60,60
20081318060,芶加愉,大学英语,60,60
20081318060,芶加愉,通信原理,60,60
20081318060,芶加愉,自动化原理,66,60
20081318060,芶加愉,离散计算机控制技术,68,60
20071318061,李孝莹,基础西班牙语,95,60
20071318061,李孝莹,高级西班牙语,81,60
20071318061,李孝莹,西班牙语文学,83,99
20071318061,李孝莹,西班牙互译,60,82
20071318061,李孝莹,西班牙口译,69,60
20071318062,刘娟,单片机原理,60,63
20071318062,刘娟,电力电子技术,60,90
20071318062,刘娟,操作系统及原理,60,60
20071318062,刘娟,工程数学,60,65
20071318063,张珊珊,复变函数,60,60
20071318063,张珊珊,大学英语,84,60
20071318063,张珊珊,通信原理,60,60
20071318063,张珊珊,自动化原理,60,60
20071318063,张珊珊,离散计算机控制技术,79,99
20081318064,梁宵,单片机原理,60,60
20081318064,梁宵,电力电子技术,60,60
20081318064,梁宵,操作系统及原理,82,60
20081318064,梁宵,工程数学,60,97
20071318065,张勇,单片机原理,97,65
20071318065,张勇,电力电子技术,60,60
20071318065,张勇,操作系统及原理,60,60
20071318065,张勇,工程数学,60,78
20081318066,秦其瑶,复变函数,60,64
20081318066,秦其瑶,大学英语,68,60
20081318066,秦其瑶,通信原理,64,66
20081318066,秦其瑶,自动化原理,60,99
20081318066,秦其瑶,离散计算机控制技术,60,60
20081318067,陈淮煜,基础日语,60,60
20081318067,陈淮煜,高级日语,60,72
20081318067,陈淮煜,日语语音,60,61
20081318067,陈淮煜,日语语法,86,61
20081318067,陈淮煜,日语写作,60,71
20081318067,陈淮煜,日本文学,80,60
20071318068,张宇航,大学物理,60,60
20071318068,张宇航,高等数学,60,60
20071318068,张宇航,电路原理,60,90
20071318068,张宇航,机械制图,60,83
20071318068,张宇航,汇编语言与接口技术,60,83
20071318069,安杰,模拟电子技术,89,60
20071318069,安杰,数字电子技术,60,60
20071318069,安杰,C语言原理,60,85
20071318069,安杰,计算机硬件技术,81,77
20071318070,蔡宇星,基础日语,60,73
20071318070,蔡宇星,高级日语,60,60
20071318070,蔡宇星,日语语音,60,60
20071318070,蔡宇星,日语语法,60,60
20071318070,蔡宇星,日语写作,86,94
20071318070,蔡宇星,日本文学,94,87
20071318071,欧阳琳琳,基础德语,66,60
20071318071,欧阳琳琳,德语听力,87,60
20071318071,欧阳琳琳,德语泛读,60,60
20071318071,欧阳琳琳,德语写作,97,75
20071318071,欧阳琳琳,德汉互译,60,68
20071318071,欧阳琳琳,德语口译,60,78
20071318072,夏仁凤,基础西班牙语,64,71
20071318072,夏仁凤,高级西班牙语,88,86
20071318072,夏仁凤,西班牙语文学,73,60
20071318072,夏仁凤,西班牙互译,84,73
20071318072,夏仁凤,西班牙口译,60,60
20081318073,张艺,基础英语,75,60
20081318073,张艺,英语语音,83,60
20081318073,张艺,高级英语,74,67
20081318074,代旭,基础德语,65,62
20081318074,代旭,德语听力,60,97
20081318074,代旭,德语泛读,60,60
20081318074,代旭,德语写作,62,60
20081318074,代旭,德汉互译,68,98
20081318074,代旭,德语口译,60,66
20071318075,黄姁,模拟电子技术,60,98
20071318075,黄姁,数字电子技术,90,60
20071318075,黄姁,C语言原理,74,60
20071318075,黄姁,计算机硬件技术,86,60
20071318076,梅骏,单片机原理,60,93
20071318076,梅骏,电力电子技术,78,60
20071318076,梅骏,操作系统及原理,99,83
20071318077,欧兴宽,通信原理,63,60
20071318077,欧兴宽,自动化原理,60,78
20071318077,欧兴宽,离散计算机控制技术,60,67
20071318078,龙复艳,模拟电子技术,60,60
20071318078,龙复艳,数字电子技术,60,89
20071318078,龙复艳,C语言原理,76,71
20071318078,龙复艳,计算机硬件技术,60,91
20081318079,苟艰钱,基础日语,60,77
20081318079,苟艰钱,高级日语,60,60
20081318079,苟艰钱,日语语音,87,60
20081318079,苟艰钱,日语语法,86,60
20081318079,苟艰钱,日语写作,71,60
20081318079,苟艰钱,日本文学,60,60
20081318080,周雪,模拟电子技术,60,60
20081318080,周雪,数字电子技术,89,87
20081318080,周雪,C语言原理,60,62
20081318080,周雪,计算机硬件技术,60,60
20081318081,周春龙,基础日语,65,60
20081318081,周春龙,高级日语,60,60
20081318081,周春龙,日语语音,60,60
20081318081,周春龙,日语语法,84,60
20081318081,周春龙,日语写作,60,60
20081318081,周春龙,日本文学,60,98
20071318082,陈姚姚,基础西班牙语,60,60
20071318082,陈姚姚,高级西班牙语,79,60
20071318082,陈姚姚,西班牙语文学,78,66
20071318082,陈姚姚,西班牙互译,60,60
20071318082,陈姚姚,西班牙口译,60,60
20081318083,周尧兰,单片机原理,60,94
20081318083,周尧兰,电力电子技术,60,84
20081318083,周尧兰,操作系统及原理,60,60
20071318076,梅骏,工程数学,60,94
20081318083,周尧兰,工程数学,60,60
20071318077,欧兴宽,复变函数,68,60
20071318077,欧兴宽,大学英语,79,60
20081318084,安航航,模拟电子技术,79,98
20081318084,安航航,数字电子技术,86,97
20081318084,安航航,计算机硬件技术,60,98
20081318084,安航航,C语言原理,75,60
20081318085,梁霞,单片机原理,60,60
20081318085,梁霞,操作系统及原理,60,60
20081318085,梁霞,电力电子技术,60,60
20081318085,梁霞,工程数学,60,60
20081318086,肖扬,基础英语,91,60
20081318086,肖扬,高级英语,60,60
20081318086,肖扬,英语语音,60,70
20081318087,杨堂鑫,基础西班牙语,86,60
20081318087,杨堂鑫,高级西班牙语,60,60
20081318087,杨堂鑫,西班牙语文学,60,94
20081318087,杨堂鑫,西班牙互译,70,60
20081318087,杨堂鑫,西班牙口译,60,60
20081318088,陈波,大学物理,97,60
20081318088,陈波,电路原理,60,60
20081318088,陈波,高等数学,60,60
20081318088,陈波,机械制图,60,95
20081318088,陈波,汇编语言与接口技术,78,64
20081318089,欧阳祥龄,模拟电子技术,60,60
20081318089,欧阳祥龄,数字电子技术,60,61
20081318089,欧阳祥龄,C语言原理,64,60
20081318089,欧阳祥龄,计算机硬件技术,62,60
20071318090,王涛,模拟电子技术,90,60
20071318090,王涛,数字电子技术,60,60
20071318090,王涛,C语言原理,95,60
20071318090,王涛,计算机硬件技术,80,60
20071318091,周艳,基础日语,73,66
20071318091,周艳,高级日语,65,60
20071318091,周艳,日语语音,60,60
20071318091,周艳,日语语法,60,66
20071318091,周艳,日语写作,60,60
20071318091,周艳,日本文学,60,60
20071318092,龙莘蛟,基础德语,60,60
20071318092,龙莘蛟,德语听力,81,60
20071318092,龙莘蛟,德语泛读,60,95
20071318092,龙莘蛟,德语写作,60,85
20071318092,龙莘蛟,德汉互译,76,60
20071318092,龙莘蛟,德语口译,60,60
20071318093,帅宗婷,基础英语,60,60
20071318093,帅宗婷,高级英语,60,60
20071318093,帅宗婷,英语语音,81,60
20071318094,程姗姗,基础德语,60,60
20071318094,程姗姗,德语听力,60,60
20071318094,程姗姗,德语泛读,84,60
20071318094,程姗姗,德语写作,60,84
20071318094,程姗姗,德汉互译,60,62
20071318094,程姗姗,德语口译,60,63
20071318095,冯霞,复变函数,60,71
20071318095,冯霞,大学英语,74,60
20071318095,冯霞,通信原理,61,60
20071318095,冯霞,自动化原理,60,60
20071318095,冯霞,离散计算机控制技术,93,60
20081318096,王宏云,模拟电子技术,60,60
20081318096,王宏云,数字电子技术,60,79
20081318096,王宏云,C语言原理,60,60
20081318096,王宏云,计算机硬件技术,60,60
20071318097,张艳,基础西班牙语,60,60
20071318097,张艳,高级西班牙语,74,60
20071318097,张艳,西班牙语文学,60,60
20071318097,张艳,西班牙互译,60,85
20071318097,张艳,西班牙口译,60,60
20081318098,陈兴裕,单片机原理,82,94
20081318098,陈兴裕,电力电子技术,60,60
20081318098,陈兴裕,操作系统及原理,65,73
20081318098,陈兴裕,工程数学,60,87
20081318099,周念,模拟电子技术,82,60
20081318099,周念,数字电子技术,60,60
20081318099,周念,C语言原理,60,60
20081318099,周念,计算机硬件技术,60,92
20071318100,陈毅,大学物理,95,60
20071318100,陈毅,高等数学,77,81
20071318100,陈毅,电路原理,60,63
20071318100,陈毅,机械制图,60,60
20071318100,陈毅,汇编语言与接口技术,60,60
20071318101,骆培蕾,基础英语,90,60
20071318101,骆培蕾,高级英语,91,60
20071318101,骆培蕾,英语语音,97,60
20071318102,陈亚林,复变函数,60,60
20071318102,陈亚林,大学英语,60,60
20071318102,陈亚林,通信原理,60,60
20071318102,陈亚林,自动化原理,64,60
20071318102,陈亚林,离散计算机控制技术,90,60
20081318103,张明星,大学物理,60,60
20081318103,张明星,高等数学,60,60
20081318103,张明星,电路原理,64,74
20081318103,张明星,机械制图,60,60
20081318103,张明星,汇编语言与接口技术,99,68
20071318104,喻文沛,基础日语,78,93
20071318104,喻文沛,高级日语,60,75
20071318104,喻文沛,日语语音,60,90
20071318104,喻文沛,日语语法,60,66
20071318104,喻文沛,日语写作,71,94
20071318104,喻文沛,日本文学,77,70
20081318105,周合力,基础英语,60,60
20081318105,周合力,高级英语,60,60
20081318105,周合力,英语语音,73,60
20071318106,苟龙,大学物理,60,68
20071318106,苟龙,高等数学,60,96
20071318106,苟龙,电路原理,60,60
20071318106,苟龙,机械制图,60,60
20071318106,苟龙,汇编语言与接口技术,60,60
20081318107,田春银,基础日语,60,60
20081318107,田春银,高级日语,60,60
20081318107,田春银,日语语音,81,60
20081318107,田春银,日语语法,74,60
20081318107,田春银,日语写作,60,90
20081318107,田春银,日本文学,60,60
20081318108,李文一,基础日语,81,96
20081318108,李文一,高级日语,99,60
20081318108,李文一,日语语音,60,60
20081318108,李文一,日语语法,60,60
20081318108,李文一,日语写作,79,88
20081318108,李文一,日本文学,60,82
20081318109,冷开茂,基础日语,60,60
20081318109,冷开茂,高级日语,60,60
20081318109,冷开茂,日语语音,60,60
20081318109,冷开茂,日语语法,60,67
20081318109,冷开茂,日语写作,60,60
20081318109,冷开茂,日本文学,80,92
20071318110,罗青青,基础英语,60,60
20071318110,罗青青,高级英语,60,60
20071318110,罗青青,英语语音,92,88
20071318111,秦其粤,基础西班牙语,78,88
20071318111,秦其粤,高级西班牙语,87,83
20071318111,秦其粤,西班牙语文学,99,66
20071318111,秦其粤,西班牙互译,91,60
20071318111,秦其粤,西班牙口译,97,84
20081318112,罗小豪,模拟电子技术,60,60
20081318112,罗小豪,数字电子技术,61,60
20081318112,罗小豪,C语言原理,60,83
20081318112,罗小豪,计算机硬件技术,60,60
20071318113,杨姗姗,模拟电子技术,60,60
20071318113,杨姗姗,数字电子技术,60,70
20071318113,杨姗姗,C语言原理,60,60
20071318113,杨姗姗,计算机硬件技术,87,60
20081318114,王正航,基础日语,60,86
20081318114,王正航,高级日语,61,60
20081318114,王正航,日语语音,60,60
20081318114,王正航,日语语法,65,60
20081318114,王正航,日语写作,96,60
20081318114,王正航,日本文学,60,90
20071318115,龙宇,基础日语,62,60
20071318115,龙宇,高级日语,91,60
20071318115,龙宇,日语语音,80,60
20071318115,龙宇,日语语法,60,86
20071318115,龙宇,日语写作,79,60
20071318115,龙宇,日本文学,60,60
20081318116,周业润,基础英语,91,67
20081318116,周业润,高级英语,60,60
20081318116,周业润,英语语音,60,72
20071318117,周玉波,大学物理,63,90
20071318117,周玉波,高等数学,60,60
20071318117,周玉波,电路原理,60,75
20071318117,周玉波,机械制图,60,74
20071318117,周玉波,汇编语言与接口技术,60,60
20071318118,李敖,基础德语,60,86
20071318118,李敖,德语听力,60,60
20071318118,李敖,德语泛读,60,60
20071318118,李敖,德语写作,60,77
20071318118,李敖,德汉互译,60,60
20071318118,李敖,德语口译,60,60
20071318119,张义婷,基础西班牙语,60,60
20071318119,张义婷,高级西班牙语,83,60
20071318119,张义婷,西班牙语文学,60,60
20071318119,张义婷,西班牙互译,60,60
20071318119,张义婷,西班牙口译,60,60
20071318120,林雨婷,基础德语,94,96
20071318120,林雨婷,德语听力,82,61
20071318120,林雨婷,德语写作,80,73
20071318120,林雨婷,德语泛读,60,60
20071318120,林雨婷,德汉互译,60,60
20071318120,林雨婷,德语口译,60,71
20081318121,刘斌,单片机原理,60,76
20081318121,刘斌,电力电子技术,60,60
20081318121,刘斌,操作系统及原理,67,60
20081318121,刘斌,工程数学,62,60
20071318122,骆书阳,基础西班牙语,73,60
20071318122,骆书阳,高级西班牙语,86,66
20071318122,骆书阳,西班牙语文学,84,76
20071318122,骆书阳,西班牙互译,90,60
20071318122,骆书阳,西班牙口译,60,60
20081318123,骆宽,大学物理,64,89
20081318123,骆宽,高等数学,60,60
20081318123,骆宽,电路原理,92,70
20081318123,骆宽,机械制图,89,60
20081318123,骆宽,汇编语言与接口技术,60,90
20081318124,梁灿,大学物理,60,74
20081318124,梁灿,高等数学,62,82
20081318124,梁灿,电路原理,60,91
20081318124,梁灿,机械制图,60,60
20081318124,梁灿,汇编语言与接口技术,66,60
20081318125,龙云云,基础日语,88,68
20081318125,龙云云,高级日语,60,60
20081318125,龙云云,日语语音,60,60
20081318125,龙云云,日语语法,60,60
20081318125,龙云云,日语写作,78,60
20081318125,龙云云,日本文学,93,90
20071318126,廖银川,基础德语,60,60
20071318126,廖银川,德语听力,76,66
20071318126,廖银川,德语泛读,60,60
20071318126,廖银川,德语写作,60,60
20071318126,廖银川,德汉互译,60,87
20071318126,廖银川,德语口译,64,60
20071318127,陈洋,基础英语,60,60
20071318127,陈洋,高级英语,60,60
20071318127,陈洋,英语语音,87,98
20081318128,陈调兴,大学物理,89,60
20081318128,陈调兴,高等数学,60,87
20081318128,陈调兴,电路原理,71,60
20081318128,陈调兴,机械制图,71,90
20081318128,陈调兴,汇编语言与接口技术,60,81
20071318129,李佳丽,基础英语,60,66
20071318129,李佳丽,高级英语,71,60
20071318129,李佳丽,英语语音,99,72
20071318130,王光凤,单片机原理,60,60
20071318130,王光凤,电力电子技术,94,60
20071318130,王光凤,操作系统及原理,92,61
20071318130,王光凤,工程数学,73,60
20081318131,石  月,基础日语,60,60
20081318131,石  月,高级日语,60,60
20081318131,石  月,日语语音,64,60
20081318131,石  月,日语语法,74,60
20081318131,石  月,日语写作,60,60
20081318131,石  月,日本文学,60,85
20081318132,帅宗凤,高级英语,60,60
20081318132,帅宗凤,英语语音,60,60
20081318132,帅宗凤,基础英语,75,93
20081318133,钱洪浪,单片机原理,60,60
20081318133,钱洪浪,电力电子技术,60,99
20081318133,钱洪浪,操作系统及原理,60,60
20081318133,钱洪浪,工程数学,91,60
20081318134,刘尧,复变函数,98,65
20081318134,刘尧,大学英语,76,60
20081318134,刘尧,通信原理,60,76
20081318134,刘尧,自动化原理,60,60
20081318134,刘尧,离散计算机控制技术,60,89
20081318135,杨堂伟,模拟电子技术,75,60
20081318135,杨堂伟,数字电子技术,83,60
20081318135,杨堂伟,C语言原理,60,60
20081318135,杨堂伟,计算机硬件技术,91,60
20071318136,王光文,复变函数,60,60
20071318136,王光文,大学英语,60,60
20071318136,王光文,通信原理,83,86
20071318136,王光文,自动化原理,60,95
20071318136,王光文,离散计算机控制技术,60,60
20071318137,陈橙,基础英语,60,92
20071318137,陈橙,高级英语,67,69
20071318137,陈橙,英语语音,77,60
20071318138,张枝园,单片机原理,60,75
20071318138,张枝园,电力电子技术,60,95
20071318138,张枝园,操作系统及原理,60,60
20071318138,张枝园,工程数学,74,88
20081318139,吴家露,大学物理,60,60
20081318139,吴家露,高等数学,60,60
20081318139,吴家露,电路原理,60,60
20081318139,吴家露,机械制图,79,81
20081318139,吴家露,汇编语言与接口技术,70,60
20081318140,张稀洋,大学物理,60,60
20081318140,张稀洋,高等数学,85,67
20081318140,张稀洋,电路原理,61,60
20081318140,张稀洋,机械制图,60,60
20081318140,张稀洋,汇编语言与接口技术,94,60
20071318141,陈杰,单片机原理,75,60
20071318141,陈杰,电力电子技术,72,91
20071318141,陈杰,操作系统及原理,60,60
20071318141,陈杰,工程数学,60,60
20071318142,周尧茂,基础日语,60,60
20071318142,周尧茂,高级日语,89,73
20071318142,周尧茂,日语语音,62,60
20071318142,周尧茂,日语语法,60,60
20071318142,周尧茂,日语写作,62,60
20071318142,周尧茂,日本文学,60,60
20071318143,喻娇,单片机原理,60,60
20071318143,喻娇,电力电子技术,60,60
20071318143,喻娇,操作系统及原理,60,60
20071318143,喻娇,工程数学,60,68
20081318144,黄太浪,复变函数,81,60
